Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,MeanDailyHours,StdDailyHours,WorkedDays,MeanArrivalHour,VarianceArrival
51,0,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,7.373650622605365,0.28322436713023424,232,9.993031609195402,0.06679947566801014
31,1,Travel_Frequently,Research & Development,10,1,Life Sciences,2,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,7.718968926553672,0.31335090741272625,236,9.98072033898305,0.08590449072404535
32,0,Travel_Frequently,Research & Development,17,4,Other,3,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,7.013240358126722,0.3115511391897782,242,10.01659779614325,0.07426348071434832
38,0,Non-Travel,Research & Development,2,5,Life Sciences,4,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,7.193678486997635,0.28413283284487745,235,9.97382978723404,0.07994728334444644
32,0,Travel_Rarely,Research & Development,10,1,Medical,5,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,8.006174603174603,0.3006564200435072,245,9.990068027210883,0.07336634325861494
46,0,Travel_Rarely,Research & Development,8,3,Life Sciences,6,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,10.796095874355368,0.3062780195272167,237,9.980450070323489,0.07717738603224553
28,1,Travel_Rarely,Research & Development,11,2,Medical,7,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,6.923570402298851,0.3246115897328066,232,9.95625,0.08129434223184229
29,0,Travel_Rarely,Research & Development,18,3,Life Sciences,8,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,6.725620713305898,0.27854805942660005,243,9.994101508916323,0.07526579865244289
31,0,Travel_Rarely,Research & Development,1,3,Life Sciences,9,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,7.236498792270532,0.3106995251062113,230,10.013840579710145,0.06944733983081242
25,0,Non-Travel,Research & Development,7,4,Medical,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,7.080087844254511,0.2904905463580699,234,9.956837606837608,0.07489582187007081
45,0,Travel_Rarely,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,8.403485477178425,0.3083233939116,241,9.985961272475796,0.08214584293837408
36,0,Travel_Rarely,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0,7.06895458736745,0.30973383319804865,241,9.989557399723374,0.07529674773321039
55,0,Travel_Rarely,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,9.301409509946627,0.28886323837076794,229,10.010625909752548,0.06799088332184172
47,1,Non-Travel,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,9.399931442080378,0.29226652785680385,235,9.996099290780142,0.0807432664524863
28,0,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,6.08968764407561,0.2897538656914085,241,10.00076071922545,0.07987789111725839
37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.705174636661979,0.31725964327391604,237,9.999226441631505,0.07283720509825424
21,0,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,6.619040626529614,0.31396253642597743,227,10.030543318649046,0.07012492473761041
37,0,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,11.014328139114726,0.3096964342975207,246,9.999661246612467,0.07265861493648948
35,0,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.960253831417625,0.314945915821745,232,9.980531609195403,0.0844521933207278
38,0,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,9.293555796055795,0.2963884015180485,231,10.023304473304472,0.08503787355961268
26,0,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,7.590778256704982,0.317876322859857,232,9.985847701149426,0.07931904741171981
